id	chapter	function_path	frame	output	alt	caption
modifiers-visual-stack	src/02-core/04-modifiers.md	modifiers_visual_stack	640x360	src/assets/visuals/02-core/modifiers-visual-stack.png	WaterUI modifiers preview showing padding background border opacity and filters	A Hydrolysis preview showing how modifier order changes rendered output.
text-typography-sample	src/03-ui/01-text.md	text_typography_sample	640x360	src/assets/visuals/03-ui/text-typography-sample.png	WaterUI typography preview with title headline caption and styled text	A Hydrolysis preview of WaterUI text rendered with semantic typography and colors.
layout-stack-sample	src/03-ui/02-layout.md	layout_stack_sample	640x360	src/assets/visuals/03-ui/layout-stack-sample.png	WaterUI layout preview showing VStack HStack and ZStack composition	A Hydrolysis preview of WaterUI stack layout primitives.
controls-input-sample	src/03-ui/03-controls.md	controls_input_sample	640x360	src/assets/visuals/03-ui/controls-input-sample.png	WaterUI controls preview with buttons toggle slider stepper and progress	A Hydrolysis preview of WaterUI controls rendered from real bindings.
forms-data-entry-sample	src/03-ui/04-forms.md	forms_data_entry_sample	640x360	src/assets/visuals/03-ui/forms-data-entry-sample.png	WaterUI form preview with field toggle stepper slider and accent color swatch	A Hydrolysis preview of stable WaterUI data-entry controls used by forms.
lists-sections-sample	src/03-ui/05-lists.md	lists_sections_sample	640x360	src/assets/visuals/03-ui/lists-sections-sample.png	WaterUI list preview with section headers rows detail rows and footer	A Hydrolysis preview of sectioned WaterUI lists.
navigation-stack-sample	src/03-ui/07-navigation.md	navigation_stack_sample	640x360	src/assets/visuals/03-ui/navigation-stack-sample.png	WaterUI navigation preview with a titled stack and navigation links	A Hydrolysis preview of WaterUI navigation chrome and links.
barcode-qr-book-waterui-dev	src/04-rich/04-barcode.md	barcode_qr_book_waterui_dev	420x420	src/assets/visuals/04-rich/barcode-qr-book-waterui-dev.png	QR code rendered by WaterUI for https://book.waterui.dev	A QR code rendered from the pinned WaterUI barcode component.
barcode-custom-colors	src/04-rich/04-barcode.md	barcode_custom_colors	640x360	src/assets/visuals/04-rich/barcode-custom-colors.png	WaterUI barcode preview with a gradient QR code and green Code128 barcode	A Hydrolysis preview of custom barcode colors and gradient fills.
canvas-shapes	src/05-graphics/01-canvas.md	canvas_shapes	640x360	src/assets/visuals/05-graphics/canvas-shapes.png	Canvas drawing with rectangles circles curves and text	A WaterUI Canvas preview showing vector drawing primitives.
gpu-surface-triangle	src/05-graphics/02-gpu-surface.md	gpu_surface_triangle	640x360	src/assets/visuals/05-graphics/gpu-surface-triangle.png	GPU surface preview rendering a colored triangle	A custom GpuView rendered through water preview.
shader-plasma	src/05-graphics/03-shaders.md	shader_plasma	640x360	src/assets/visuals/05-graphics/shader-plasma.png	ShaderSurface preview with a plasma fragment shader	A WGSL fragment shader rendered through ShaderSurface.
filter-frosted-gradient	src/05-graphics/04-filters.md	filter_frosted_gradient	640x360	src/assets/visuals/05-graphics/filter-frosted-gradient.png	Filtered gradient card with blur brightness and contrast	FilterViewExt applied to a WaterUI view snapshot.
particle-confetti	src/05-graphics/05-particles.md	particle_confetti	640x360	src/assets/visuals/05-graphics/particle-confetti.png	Deterministic confetti emitter preview with particle colors	A WaterUI preview image illustrating a confetti particle emitter.
gradient-mesh	src/05-graphics/06-gradients.md	gradient_mesh	640x360	src/assets/visuals/05-graphics/gradient-mesh.png	Static mesh gradient rendered by WaterUI graphics	A mesh gradient rendered with waterui::graphics::Gradient.
theme-color-resolver-sample	src/06-advanced/08-resolvers.md	theme_color_resolver_sample	640x360	src/assets/visuals/06-advanced/theme-color-resolver-sample.png	WaterUI custom color token preview with accent success highlight and foreground swatches	A Hydrolysis preview of custom color tokens resolved through the environment.
